episode_index,npz_name,seed,source_success,source_ever_attached,source_final_drawer,source_max_drawer,replay_mode,success,ever_attached,attach_step,first_near_handle_step,first_major_open_step,final_drawer_fraction,max_drawer_fraction,mean_position_error_m,p95_position_error_m,max_position_error_m,mean_handle_distance_m,handle_distance_vs_source_error,failure_stage,attach_threshold_m,min_handle_distance_m,n_recorded_steps,attach_threshold_sweep_m
3,seed_007_branch2_phase_scaled_ep3.npz,7,True,True,1.0,1.0,open_loop,False,False,,,34,0.0,1.0,0.13643480837345123,0.32547674775123603,0.4355785548686981,0.2799029052257538,0.1995300054550171,never_near_handle,0.05,0.056033771485090256,200,0.05
3,seed_007_branch2_phase_scaled_ep3.npz,7,True,True,1.0,1.0,oracle_reachability,True,True,50,50,52,0.9059403538703918,0.9569666981697083,0.2860112190246582,0.5492230206727982,0.7548837661743164,0.21080389618873596,0.09874439239501953,success,0.05,0.028346208855509758,56,0.05
3,seed_007_branch2_phase_scaled_ep3.npz,7,True,True,1.0,1.0,state_anchored_legacy,True,True,45,,65,0.9027606844902039,0.9027606844902039,0.08011665940284729,0.2733216658234596,0.3964632451534271,0.23012720048427582,0.10500895977020264,success,0.05,0.12736745178699493,66,0.05
25,seed_008_branch2_phase_scaled_ep0.npz,8,True,True,0.05803622677922249,1.0,open_loop,False,False,,,,0.00031124273664318025,0.18001799285411835,0.09386231750249863,0.2565888710319994,0.5228617787361145,0.20201587677001953,0.05903448909521103,never_near_handle,0.05,0.06251408159732819,200,0.05
25,seed_008_branch2_phase_scaled_ep0.npz,8,True,True,0.05803622677922249,1.0,oracle_reachability,True,True,36,40,37,1.0,1.0,0.11931492388248444,0.2840300142765045,0.35149672627449036,0.16164788603782654,0.04816298559308052,success,0.05,0.02037256769835949,43,0.05
25,seed_008_branch2_phase_scaled_ep0.npz,8,True,True,0.05803622677922249,1.0,state_anchored_legacy,False,True,39,,19,0.0,1.0,0.08650138229131699,0.27418218106031417,0.505997359752655,0.21484681963920593,0.07308738678693771,never_near_handle,0.05,0.09275467693805695,200,0.05
138,seed_012_branch2_phase_scaled_ep4.npz,12,True,True,0.9659833312034607,1.0,open_loop,True,True,51,,52,0.2731584310531616,1.0,0.06877537816762924,0.15705933496356003,0.5779348611831665,0.16871345043182373,0.0754416361451149,success,0.05,0.07838362455368042,54,0.05
138,seed_012_branch2_phase_scaled_ep4.npz,12,True,True,0.9659833312034607,1.0,oracle_reachability,True,True,34,25,10,0.9038873314857483,1.0,0.25315120816230774,0.3578750267624855,0.5239579081535339,0.120921291410923,0.04462461918592453,success,0.05,0.03794969990849495,56,0.05
138,seed_012_branch2_phase_scaled_ep4.npz,12,True,True,0.9659833312034607,1.0,state_anchored_legacy,False,True,35,,13,0.9975593090057373,1.0,0.15706299245357513,0.5958188772201538,0.766093373298645,0.336137056350708,0.16361501812934875,never_near_handle,0.05,0.08226338773965836,200,0.05
157,seed_013_branch2_phase_scaled_ep0.npz,13,True,True,0.9232431650161743,0.9232431650161743,open_loop,False,False,,,7,1.0,1.0,0.202190563082695,0.42213599383831024,0.5710945725440979,0.393515944480896,0.2055443525314331,never_near_handle,0.05,0.14601057767868042,200,0.05
157,seed_013_branch2_phase_scaled_ep0.npz,13,True,True,0.9232431650161743,0.9232431650161743,oracle_reachability,True,True,50,,19,0.0005348655977286398,0.9816228151321411,0.2478775978088379,0.5047380328178406,0.6880200505256653,0.17753306031227112,0.11605484038591385,success,0.05,0.054054148495197296,75,0.05
157,seed_013_branch2_phase_scaled_ep0.npz,13,True,True,0.9232431650161743,0.9232431650161743,state_anchored_legacy,True,True,42,,40,0.9232431650161743,0.9232431650161743,0.1149146631360054,0.3505622148513794,0.6960154175758362,0.2803495526313782,0.14607734978199005,success,0.05,0.06974688172340393,71,0.05
